,Jobs,Companies,City
64,Shopify Front-End Developer (F/H),VISEO,"Casablanca, Casablanca-Settat, Morocco (Hybrid)"
65,Senior Big Data Engineer ,Leyton,Casablanca Metropolitan Area (Hybrid)
66,Stage - Développement commercial,Expandia International,"Casablanca-Settat, Morocco (Remote)"
67,Responsable de formation,Marocadres.com | Le Maroc a du talent!,Casablanca Metropolitan Area (On-site)
68,R/Shiny Developer,Appsilon,Morocco (Remote)
69,Data Engineer,Artefact,"Casablanca, Casablanca-Settat, Morocco (Hybrid)"
70,Stagiaire VBA H/F,SEGULA Technologies,"Mechouar, Casablanca-Settat, Morocco (On-site)"
71,Ingénieur Expérimenté Cloud F/H,Deloitte,"Mechouar, Casablanca-Settat, Morocco (Hybrid)"
72,Stage en Conseil - Organisation&Transformation F/H,Deloitte,"Mechouar, Casablanca-Settat, Morocco (Hybrid)"
73,Associate Engineering Manager,Leyton,"Casablanca-Settat, Morocco (Hybrid)"
74,Senior Devops Engineer ,DXC Technology Morocco,"Casablanca-Settat, Morocco (Hybrid)"
75,Développeur Salesforce F/H,VISEO,"Aîn-Chock, Casablanca-Settat, Morocco (On-site)"
76,Ingénieur DevOps SRE Senior,Devoteam,"Dar Chaffai, Casablanca-Settat, Morocco (Remote)"
77,Leader Technique Windev (F/H),CGI,"Casablanca, Casablanca-Settat, Morocco"
78,Développeur AI Python ,Constellio,Morocco (Remote)
79,Senior Front-end Developer,Leyton,Casablanca Metropolitan Area (Hybrid)
80,Développeur Dotnet/Développeuse Dotnet,SII SERVICES MAROC,Casablanca Metropolitan Area (On-site)
81,Ingénieur DevOps sénior (H/F),Sofrecom Maroc,"Casablanca-Settat, Morocco (Hybrid)"
82,ADAS Technical Functional Designer ,APSIDE Maroc,"Casablanca-Settat, Morocco (On-site)"
83,Functional Safety Leader,SEGULA Technologies,"Mechouar, Casablanca-Settat, Morocco (Remote)"
84,Chef de Projet développement éolien Maroc F/H,Qair Group,Casablanca Metropolitan Area (On-site)
85,Personalized Internet Ads Assessor – French Speakers in Morocco,TELUS International,Morocco (Remote)
86,Bilingual Customer service Advisor (FR/EN) ,TELUS International,Casablanca Metropolitan Area (On-site)
87,STEM Aspire Mentorship Program,Dell Technologies,"Mechouar, Casablanca-Settat, Morocco (Hybrid)"
88,Part-Time Personalized Internet Ads Assessor - French Speakers in Morocco,TELUS International AI Data Solutions,Morocco (Remote)
89,.NET Developer (m/f),Hahn Software,Morocco (Remote)
90,Développeur Dotnet Core/Développeuse Dotnet Core,Akkodis,Casablanca Metropolitan Area (Hybrid)
91,"SAP Logistics, HR or Technology expert - Morocco",SAP,"Casablanca, Casablanca-Settat, Morocco (Hybrid)"
