Job;Company;City;Work Type;Work Model;Salary;Experience Level;Skills
Ing�nieur quantitatif Senior;CREDIT DU MAROC;Casablanca Metropolitan Area (On-site);Contract;On-site;;Internship;Catalog Marketing, High Level Of Accuracy, Microsoft Excel, Office Automation, ?????????, ??????? ??? ?????, ???????? ????????, ?????? ??????? ??? ???????, and ??? ????? ????????
Software Support Expert Engineer (German Language);Acronis;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;Associate;GIS Applications, Technology Intelligence, ???????, ????? ?????, ???????? ????????, and ?????? ???????
Charg� de D�veloppement Infotainment;Expleo Group;Tangier, Tanger-Tetouan-Al Hoceima, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;CSS, Doctrine (PHP), Esprit, HTML, JavaScript, ?????????, ???????, ?????? ????????, ????? ??? ??????, and ????? ?????? ???????? ???????
Data Owner - Catalog;Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;Coordinating Skills, DCS, Electrical Power Systems, Hybrids, Post Processing, ???????, and ????????
Expert Infrastructure;Attijariwafa bank;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Angular, CSS, Digital Technology, HTML5, Intellectually Curious, Vue.js, ???????, ????? ?????????, ????? ??????? ????????, and ???? ???.?? ??
D�veloppeur(se) Web Full Stack exp�riment�(e) F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;DevOps, Esprit, Google Cloud Platform (GCP), ?????? ?? ?? 2, ????? ????? ???????, ??????? ?????? ????, ??????? ??? ?????, ????? ????????, ?????????? ????, and ?????? ??????? ??? ???????
ADAS Software Architect;Capgemini Engineering;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Executive;Cisco Networking, ????? ???????, ???????, and ?????? ????? ??????-?????? ????? ??????
ING�NIEUR D�VELOPPEUR CONCEPTEUR ANGULAR - RABAT (H/F);SQLI;Rabat Metropolitan Area (Hybrid);Full-time;Hybrid;;Associate;Google Sheets, Python, ??????????, ?????????, ????????? ????????, ?????????, ???????? ?????????, ??????? ????????, ?? ???????, and ?????? ?????? ????????
Ing�nieur Exp�riment� Cloud F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;Uranium, ???????, ??????? ?????????, ??????? ??????????, ????? ???????, ????? ??? ???, ??? ???????, and ????? ????????
INGENIEUR RESEAUX ET TELECOM H/F;MAROCLEAR;Casablanca Metropolitan Area (On-site);Full-time;On-site;;Associate;Java, JavaScript, and SQL
Senior Operations Analyst - Morocco;Glovo;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Encoding, Fault Analysis, Roll Forming, Simulink, UML, ??????????, ?????????, ?????????, ??????? ???????, and ????
Directeur de la technologie/Directrice de la technologie;INNOVX;Casablanca Metropolitan Area (On-site);Full-time;On-site;;Associate;Automobiles, Competency Management, Costings, Design Tools, Supplier Management, ????? ?????, ??????? ?????? ?????????, ????? ???????, ?? ????????, and ??? ??????? ?????? ???????
Senior Java Software Engineer;Soci�t� G�n�rale - Africa Technologies & Services;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Entry level;.NET, GxP, Kendo Ui, Technical Skillset, Technology Intelligence, ?????, ???????? ????????, ?????? ?????????, ????? ?? ??? ?????, and ????? ??????? ?????????
ADAS Technical Functional Designer ;APSIDE Maroc;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;General Data Protection Regulation (GDPR), ????? ????? ?????????, ????? ???????? ?? ??????? (EPM), ????? ?????????, ???????, ???????, ????? ???????, ???????? ?????????, ????? ????????, and ????? ??? ???
Engineering Team Manager (H/F);Capgemini Engineering;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Internship;Angular and Java
Architecte technique Microsoft;SQLI;Casablanca, Casablanca-Settat, Morocco (Remote);Full-time;Remote;;Mid-Senior level;Coordinating Skills, DCS, Electrical Power Systems, Hybrids, Post Processing, ???????, and ????????
Consultant EPM F/H;VISEO;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Director;Coordinating Skills, Figures, Service Focused, ?????? ?????? ?????????, ???????, ?????????, ????? ????????, ???? ???????, ??? ???????, and ?????? ??????? ??? ???????
D�veloppeur Fullstack Java Angular ;Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Angular, Cucumber, Java, Mockito, Spring Framework, ????? ???????, ????? ????? ?????? ????, ??????, ????? ?????? ???????? ???????, and ???? ????? ????? ???????? (DBMS)
Ing�nieur Test Software embarqu� ;Capgemini Engineering;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Mid-Senior level;CSS, HTML, Java, JavaScript, ????? ???? ????? ?????????, ??????? ??? ?????, ?????? ???, ?????? ???????, ????? ?????? ??????? ?????? ?????????, and ?????? ??????? ??? ???????
Stagiaire PFE - Operations Excellence Analyst (F/H);VISEO;Morocco (On-site);Full-time;On-site;;Entry level;Analytical Capability, Persuader, Risk Governance, Synthesizing, ????? ???????, ??????????, ??????? ??? ?????, ?????? ????? ???????, ?????, and ?????? ??????? ??? ???????
Senior Java & Web Technologies Application Developer;IBM;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Internship;Best Case, ?????, ??????????, ?????????, ???????, ????? ???????, ????????, ????? ???????, ????? ????????, and ????? ???? ????? ????????
Consultant ServiceNow;Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;Angular, Apache Kafka, Elasticsearch, Java, React.js, Spring Boot, Spring Framework, Talend, ???????? ???????, and ??????
Leader Ing�nierie Syst�me clim et refroidissement H/F;SEGULA Technologies;Mechouar, Casablanca-Settat, Morocco (On-site);Mid-Senior level;On-site;;Associate;CRM, Change Requests, NetSuite, Report Building, Workflow Management, ????? ?????????, ????? ?????, ?????????, ????? ??????? ????????, and ????? ????????
Sales Executive - Agadir;Glovo;Agadir, Souss-Massa, Morocco (Hybrid);Full-time;Hybrid;;Associate;Offshore, Unix, WS, webMethods, ????? ????? ?????? ????, ?????????, ???????? ?????????, ????? ??????? ??????, ??? ????? ???????? (CGI), and ?????? ????????
D�veloppeur Java F/H;VISEO;A�n-Chock, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Agile Environment, Digital Technology, Intellectually Curious, Terraform, ??????????, ???????? ???????, ??????? ????????, ???????, ????? ????????, and ?????????? ????
Ing�nieur D�veloppement logiciel Java/Angular;Be Ys Outsourcing Services Maroc;Casablanca Metropolitan Area (On-site);Full-time;On-site;;Associate;Data Integrity, Information Technology Infrastructure, Root Cause Problem Solving, ?????????, ?????????, ????? ?????, ?? ???????, ?? ????????, ???? ??????? ?????????, and ????? ????????
Ing�nieur Syst�me d'information;Digimind - an Onclusive company;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;C#, InfoPath Forms, SharePoint, Synthesizing, ??????????, ?????????, ??????? ????????, ???????, ???? SharePoint, and ?????????? ????
Expert Webmethods (F/H);CGI;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;Associate;Capabilities Development, Journaling, Professional Development, Safety Practices, Technology Intelligence, ????? ???????, ????? ?????, ????? ????????, ?? ???????, and ??? ???????
Ing�nieur Cloud AWS/Azure;Orange Business Maroc;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Entry level;Java and Spring Framework
Ing�nieur Syst�mes & BD;S2M;Casablanca Metropolitan Area (On-site);Full-time;On-site;;Mid-Senior level;Java, Liferay, jBPM, jQuery, ???????? ?????? ??? ?????? ??????, and ???? ????? ?????? (JMS)
D�veloppeur Sharepoint;Alter Solutions Maroc;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Director;Customer Journeys, High Level Of Accuracy, Project Managers, Technical Specs, ????? ?????????, ?????????, ????? ???????, ???????? ????????, ???? ???????, and ????? ????????
Associate DevOps Manager;Leyton;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Entry level;Coordinating Skills, DAX, ETL, Investigator Brochures, Synthesizing, ??????????, ?????????, ?????? QlikView, ??????? ????????, and ???? ??????
Software Architect/Technical lead;SII SERVICES MAROC;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Associate;????? ?????? and ????? ??????? ????????
D�veloppeur Java-Liferay;Inetum;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;DevOps, Google Cloud Platform (GCP), Network Provisioning, Virtual Networks, ????? ???????, ??????? ?????? ????, ??????? ??? ?????, ??????? ?????, ????? ??????, and ?????? ??????? ??? ???????
Chef de projet;Sofrecom Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Entry level;Hybrid;;Associate;Angular, Apache Kafka, High Level Of Accuracy, Java, Java Development, Struts, ??????, ????? ?????, ??????, and ???? ??? ??????
D�veloppeur Power BI exp�riment�;Alter Solutions Maroc;Casablanca, Casablanca-Settat, Morocco (On-site);Mid-Senior level;On-site;;Associate;Full-Stack Development, GxP, Java, Maven, Struts, ?????? ??????, ??????? ???????, ????? ?????? ???????? ???????, ????, and ????? ???????
Business Analyst/recetteur AMOA;ALTEN;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Budgeting & Forecasting, ????? ?????????, ?????????, ??????? ??????, ????????? ??????, ????????, ?????? ?????????, ???????, ?? ???????, and ?????? ?????? ????????
Architecte Exp�riment� Cloud F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Internship;Hybrid;;Entry level;CSS, Jasmine Framework, OOP, ????? ???????, ?????? ?????????, ?????, ????? ?????????, ????? ????????, ?? ???????, and ???? ??????? ????????
D�veloppeur Java / JEE -Senior- CDI - F/H;Eviden;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Candidate Selection, Job Applications, ??????, and ????? ????????
D�veloppeur Confirm� Java Full stack (H/F) RABAT (Maroc);Cegedim;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;Associate;.NET, Angular, C#, Git, JavaScript, Model-view-viewmodel (MVVM), REST, TypeScript, ???? ??????, and ??????????
BCG X Senior Product Financial Analyst;Boston Consulting Group (BCG);Casablanca, Casablanca-Settat, Morocco;Full-time;;;Associate;Digital Technology, Java, Java Development, Spring Framework, Struts, ???? ???? ???? (JSF), ?????????, ??????, ????? ?????? ???????? ???????, and ????? ?????
(Senior) Software Engineer, Quality - X Delivery;BCG X;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;3D Studio Max, CSS, GxP, HTML5, Module Development, Technology Intelligence, TypeScript, ????? ????? ?????, ???????, and ??????? ?????????
Stage de pr�-embauche (6 mois) - Recruteur IT (H/F);Atlas Talents;Marrakesh, Marrakesh-Safi, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;MEP Coordination, SLA, ??????? ??? ?????, ???????, ????? ?????????? ???????, ????????? ????????, ???????? ????????, ?????, ??? ?? ???????? ????????, and ?????? ??????? ??? ???????
.NET Developer (m/f);Hahn Software;Morocco (Remote);Full-time;Remote;;Associate;Continuous Integration and Continuous Delivery (CI/CD), DevOps, JavaScript, Kubernetes, Linux, Python, Terraform, ????????? ????????, ??????? ????????, and ???? ??? ??????
Java/JEE D�veloppeur (Confirm�s et S�niors) H/F;Inetum;Rabat Metropolitan Area (On-site);Full-time;On-site;;Executive;Cloud Infrastructure, DevOps, Flux, Kubernetes, Python, Terraform, ????? ????? ???????, ????? ??? ??????, ????? ?????????, and ????? ?????
Architecte Front;SQLI;Casablanca, Casablanca-Settat, Morocco (Remote);Full-time;Remote;;Associate;CANoe, Coordinating Skills, Detailed Design, Model Design, Vector CANalyzer, ?????????, ?????????? ???????, ??????? ????????, ??????? ???????, and ??????? ??????
CHARG�(E) DE NORMES ET DOCTRINES;BMCI Groupe BNP Paribas;Casablanca Metropolitan Area (On-site);Mid-Senior level;On-site;;Associate;GitOps, Kubernetes, New Product Rollout, ??????? ??? ?????, ?? ???????, ?? ????????, ???? ????? ?????????, ????? ?????, ????? ???????, and ?????? ??????? ??? ???????
Chef de Projet BI Anglophone (F/H) ;CGI;Casablanca-Settat, Morocco (Hybrid);Mid-Senior level;Hybrid;;Mid-Senior level;Compellent, Convincing People, New Product Rollout, Paper Prototyping, Technology Intelligence, ?????????, ???????, ???????, ???????? ????????, and ???? ????? ????? ???????? (DBMS)
Chef de Projet BI Anglophone (F/H);CGI;Casablanca, Casablanca-Settat, Morocco;Full-time;;;Entry level;Compellent, Convincing People, New Product Rollout, Paper Prototyping, Technology Intelligence, ?????????, ???????, ???????, ???????? ????????, and ???? ????? ????? ???????? (DBMS)
DevOps Technical Lead;Oracle;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;HTML5, Java, JavaScript, Linux, MySQL, Objective-C, PHP, REST APIs, ????? ?????????, and ?????? ???????
Ing�nieur DevOps SRE Senior;Devoteam;Dar Chaffai, Casablanca-Settat, Morocco (Remote);Full-time;Remote;;Associate;DevOps, Optimization Strategies, Python, YAML, ?????? ???????, ??????? ??? ?????, ????? ??????, ????? ?????????, ??????? ??????, and ?????? ??????? ??? ???????
MBD Engineer;ALTEN MAROC;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;Bloomberg, ??????? ???????, ??????????, ?????????, ????? ??????, ????? ???????, ??????, ???????? ?????????, ????? ????????, and ?????
Ing�nieur DevOps Kubernetes | Devoteam Maroc Nearshore;Devoteam;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;Intellectually Curious, Zephyr, ?????? ?????????, ??????????, ????????, ????????? ????????, ???????? ?????????, ???????, ????????, and ????? ??????????
Leader Technique Dot Net (F/H);CGI;Casablanca, Casablanca-Settat, Morocco;Internship;;;Mid-Senior level;Ansible, DevOps, Git, OpenStack, PostgreSQL, Python, Robot Framework, Terraform, ?????? ??????, and ??????
Leader Technique Windev (F/H);CGI;Casablanca, Casablanca-Settat, Morocco;Full-time;;;Associate;Monitoring Performance, POS Material, ??????? ??????, ????????? ?????????, ????????? ?????? ?????, ????????????? ????????, ???????, ???????? ????????, ??? ??????, and ?????? ??????? ??? ???????
Ing�nieur Web & mobile, Formateur � l��cole du code;Orange Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Associate;Computer Programming, GxP, Kubernetes, Linux, Network Provisioning, Safety Practices, Terraform, ????? ????? ???????, ????? ??? ??????, and ????? ????????
PROMO ATN;Expleo Group;Tangier, Tanger-Tetouan-Al Hoceima, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;C, Coordinating Skills, Project Managers, Technical Project Management, Technical Understanding, ????? ?????????, ?????????, ???????? ????????, ?? ???????, ????? ????????, and ????? ?????? ??????? ?????? ?????????
Ing�nieur DevOps Site Reliability Engineer (SRE) | Devoteam Maroc Nearshore;Devoteam;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Gitlab, Java, JavaScript, Maven, Sonar, TypeScript, ??????, ??????, ??? ????????, and ???? ????? ????? ???????? ?????????
Emerging Market Strategist;Soci�t� G�n�rale - Africa Technologies & Services;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Entry level;Desktop Deployment, Root Cause Problem Solving, Technical Skillset, ????? ??????, ?????????, ?????? ?? ??????, ????? ???????, ?????, ?? ???????, and ???? ?????? ??????
ing�nieur senior de test et automatisation;Apside;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Clienteling, POS, SQL, ???????, ??????? ???????????, ???????, ????? ???????, ??? ??????? ????? ???????, ????? ??????, and ?????
Ing�nieur DevOps;Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;Fiber to the x (FTTx), Internal Mobility, Synthesizing, ????? ???????, ????? ?????, ?????? ?? ???????, ???????, ???????? ????????, ?????, and ????
Stagiaire en d�veloppement commercial et marketing;marocMaroc;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Associate;Defining Requirements, Passionate about Work, Simulink, ??????????, ???????? ?????????, ????? ???????, ??? ????? ??????? ?????, ????, ????? ????????, and ????? ?????
Ing�nieure ou Ing�nieur DevOps - Confirm� H/F;Berger-Levrault;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;????? ????????, ????? ????? ????????, ???????, ??????? ???????? ???????, ?????? ??????, ????? ????????, ????? ????? ????????, ????? ?????? ??????, ????? ????????, and ???? ????? ????? ???????? (DBMS)
Chef de projet infrastructure;Anywr;Casablanca Metropolitan Area (On-site);Internship;On-site;;Entry level;Gitlab, Listen, Technical Skillset, Terraform, ????? ????? ???????, ?????????, ?????????, ??????? ????????, ????? ????????, and ??????? ???????
D�veloppeur Back end Java Senior;Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Entry level;Digital Technology, HTML, POS Material, Photoshop, PowerPoint, ????? ?????????, ????? ????????, ??????? ??????, ?????????, ???????, ????????, and ??????
Ing�nieur Cybers�curit�;Alter Solutions Maroc;Casablanca, Casablanca-Settat, Morocco (On-site);Mid-Senior level;On-site;;Associate;Security Operations Center, ?????? ????????, ?????? ??????, ???????, ??????? ?????, ????????? ???????, ??????? ????????, ????? ????????, ???? ?????? ???????, and ????? ISO 27001
Consultant Cegid Retail Y2;VISEO;A�n-Chock, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;Aura, Salesforce.com, ????? ??????, ?????????, ?????? ?? ??????, ??? ?????, ????? ??????, ????? ??????, ???? ??????, and ????? ????????
Directeur de Projet R�seaux et T�l�com ;ALTEN MAROC;Fez, F�s-Mekn�s, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Java
BMS Software Engineer;AVL;Rabat Metropolitan Area (Hybrid);Full-time;Hybrid;;Associate;Active Listening, ETL, Java, Salesforce.com, XML, Zuora, ??????????, ???????? ?????? ??? ?????? ??????, ????? ?????, and ??? ????????
Administrateur Bases de donn�es EKIP;Devoteam;Sidi Ifni, Guelmim-Oued Noun, Morocco (On-site);Full-time;On-site;;Associate;???????, ?????????? ???? ?????, ??????? ????????, ??????? ???????, ?????, and ????? ???????
Ing�nieur Exp�riment� Cloud F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;Analytical Reasoning, C#, Root Cause Problem Solving, ?????????, ???????, ????? ???????, ????? ??????, ????? ?????????, ????? ?????????, and ?? ???????
Stagiaire infographiste (H/F);LabelVie;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Ansible, DevOps, Gitlab, Kubernetes, Linux, Terraform, ??????, ??????, ???? ??? ??????, and ???? DNS
Formateur en Cybers�curit� (H/F);DataProtect;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Entry level;JSP, Microservices, Servlets, Spring Batch, Spring Cloud, Spring Framework, Struts, ????? ????? ?????? ????, ??????, and ?????? ????????
Consultant Senior Data quality ( F/H);CGI;Casablanca, Casablanca-Settat, Morocco;Mid-Senior level;;;Associate;B2, Call Tracking, Customer Satisfaction (CSAT), Escalation Process, Voice & Accent, ????? ??????, ???????? ???????, ????? ??????, ??????? ????, and ???? ??????
Ing�nieur Etudes et D�veloppement Java S�nior ( H/F);Eviden;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Internship;Angular, Flask, HTML5, React.js, Technical Advisory, ????? ?????????, ?????, ?? ???????, ??????? ????, and ??? ???????
Senior Technical Consultant Salesforce;DXC Technology Morocco;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Mid-Senior level;Model-based Systems Engineering (MBSE), Synthesizing, Systems Modeling, ????? ?????, ?????? ??????? ????????, ???????, ????? ?????????, ???? DNS, ??? ???????, and ????? ?????
DBA cloud AWS;DXC Technology Morocco;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Associate;Apache CXF, Java, Java Enterprise Edition, MyEclipse, Spring Batch, Spring Boot, Spring Framework, UML, ???? ???? ???? (JSF), ??????, and ???? ???? ?????? ????????
Senior R&D Software Engineer C#;Soci�t� G�n�rale - Africa Technologies & Services;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Agile Development, C#, Garbage Collection, Java, ????? ???????, ????? ?????? ???????? ???????, ?????, ?????? ?????? ????????, ?? ???? ??????, and ???? ??????
Ing�nieur DevOps;SII SERVICES MAROC;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Entry level;Office Automation, Rock Climbing, ????? ???????, ??????????, ??????? ???????, ??????? ?????? ????, ?????? Office 365, ?????? ???, ????? ??? ?????????, and ??? ???????
Tech Lead Java JEE (H/F);SQLI;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Entry level;C, Digital Technology, ??????????, ??????????, ???????? ???????, ???????, ??????, ???????, ????????, ??????? ???????, and ???????? ????????
Service desk analyst (Canadian French) ;HCLTech;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Associate;.NET, C#, SQL, WCF, WPF, and ?? VB ?????
Engineering Lead - X Delivery;BCG X;Casablanca, Casablanca-Settat, Morocco;Contract;;;Associate;Commercial, Commercial Proposals, Java, Listen, PL/SQL, SQL, Salary Negotiations, ??????????, ?????? ???? ????, ???????, ???????, ????? ??????? ????????, and ?????? ??????? ??? ???????
Ing�nieur syst�me Mbse Sysml;Expleo Group;Tangier, Tanger-Tetouan-Al Hoceima, Morocco (Hybrid);Full-time;Hybrid;;Associate;.NET, Compellent, Convincing People, Paper Prototyping, Technology Intelligence, ?????????, ???????, ???????, ???????? ????????, and ???? ????? ????? ???????? (DBMS)
Senior Java Software Engineer;Capgemini;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;????? ?????, ???????, ??????? ????????, ?????????, ?????? ?????????, ????? ???????, ???????, ?? ???????, ???? Sage Products, and ???? ????? ????? ???????? (DBMS)
Engineering Manager in Back End (Bangkok based, relocation provided);Agoda;Marrakesh, Marrakesh-Safi, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;.NET, Azure Service Bus, Blazor, C#, Microservices, Synthesizing, ?????? ??????, ??????? ?????? ????, ??????? ??? ?????, and ?????? ??????? ??? ???????
Ing�nieur support applicatif niveau 2 exp�riment�(e) F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Associate;Intellectually Curious, Meeting Facilitation, SAP, SAP BW, SAP HANA, SAP Lumira, Spotfire, ???????? ???????, ????????? ????????, and ???? ??????? ????? ???
Responsable Ecole du Code - ODC Rabat;Orange Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Mid-Senior level;On-site;;Associate;Client Focus, JSP, JUnit, JavaServer Pages Standard Tag Library (JSTL), Mockito, SAP, ??????? ???????, ??????? ??? ?????, ??????? ?????, and ????? ???????
D�veloppeur Dotnet/D�veloppeuse Dotnet;SII SERVICES MAROC;Casablanca Metropolitan Area (On-site);Full-time;On-site;;;Angular, Encoding, Homologation, Sales Order Processing, ????? ??????, ?????????, ??????, ?? ???????, ?? ????????, and ????? ??????????
IT implementation Engineer / English speaker;HPS;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;;?????, ????? ???????, ???????, ?????????, ???????, ?????????, ??????, and ?????
Leader Technique Dot Net (F/H) ;CGI;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Computer Language, Computer Programming, ??????? ?????, ?????? ????????, ?????, ?????????, ????? ???????, ???????, ????? ???? ??????, and ?????? ???????
Consultant Support Sage 100 Cloud;Sage;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Collaborative Work, Intellectually Curious, Professional Development, ?????????, ????? ????????, ???????, ????????, ???????? ?????????, ??? ??????, and ?????? ??????? ??? ???????
D�veloppeur .NET (C#) exp�riment� F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;.NET, Angular, C#, JavaScript, ?????? ??????, ??????????, ????????? ???????, ???? ??????????, ????? ?????? ????????, and ????? ??? ???
Consultant SAP BW Senior F/H - Casablanca;Eviden;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Angular, Encoding, Homologation, Sales Order Processing, ????? ??????, ?????????, ??????, ?? ???????, ?? ????????, and ????? ??????????
Consultant Hybris /SAP Commerce Cloud H/F;Inetum;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;;JUnit, Java, Java Development, Spring Framework, ??????, ????? ?????????, ????? ?????? ???????? ???????, ????? ?????, ????? ??? ?????, and ?????? ????????
Expert Technique Java / Angular (F/H);CGI;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;;DevOps, Java, Python, ??????? ????????, ??????? ????????, ????? ???????, ????? ?????????, ????? ??? ???, ????? ????????, and ????? ????????
System team lead;Capgemini Engineering;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;DevOps, DevSecOps, ????? ????, ????? ???????, ???????, ???????, ???????, ????? ?????, ???? ?????? ?????, and ???? ???????
Agent R�servations;Dakhla Club;Dakhla, Dakhla-Oued Ed-Dahab, Morocco (On-site);Full-time;On-site;;;Git, Gradle, Java, Liferay, Maven, Struts, ??????????, ??????, ????????? ???????, and ??????
Ing�nieur Structuration d'Indice;Soci�t� G�n�rale - Africa Technologies & Services;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Microsoft Dynamics ERP, Service Focused, ??????? ?????? ???????, ????? ???????, ????? ?????????, ????? ?????, ????? ?????? ??????, ???????/?????, ????? ????? ????????, and ??? ???????
Consultant R&D ICT;Leyton;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;;Angular, Integration Projects, REST APIs, Software Architecture, Synthesizing, Technical Skillset, UML, User Management, ??????? ???????, and ?????? ????? ?????????
Senior Application Developer/Team Lead;TransPerfect;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;High Level Of Accuracy, Listen, Priority Management, ??????????, ?????????, ????????? ????????, ??????? ??? ?????, ???????? ?? ???????, ????????, and ???????? ????????
Expert Technique Java/ Angular (F/H);CGI;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;;Angular, Fortify Software Security Center, Java, Java API, Spring Boot, Spring Framework, ?????? ??????, ??????? ???????, ????? ??????? ????????, and ?????? ????? ?????????
D�veloppeur Java senior (H/F);Maltem Africa;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;;CRM, Intellectually Curious, Microsoft Development, Microsoft Dynamics, ????? ?????, ??????????, ?????????, ??????, ?????? ?????????, and ?????????? ????
Software Development Manager (DevOps);Oracle;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;;Business Schools, Computer Programming, VBA, ??????? ???????, ?????????, ???????, ??????? ?????, ????? ???????, ???????, and ?????? ?????
Ing�nieur DevOps s�nior (H/F);Sofrecom Maroc;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Java, JavaScript, and Salesforce.com
